code_insee,nom_standard,dep_code,dep_nom,latitude_centre,longitude_centre,lat_nominatim,lon_nominatim,dist_nominatim_m,ok_nominatim,lat_photon,lon_photon,dist_photon_m,ok_photon,lat_arcgis,lon_arcgis,dist_arcgis_m,ok_arcgis,label_nominatim,label_photon,label_arcgis
03102,Dompierre-sur-Besbre,03,Allier,46.531,3.676,46.5216278,3.6812752,1117.5562680051287,True,46.5216278,3.6812752,1117.5562680051287,True,46.519868179,3.679183584,1261.537348323409,True,"Dompierre-sur-Besbre, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03290, France","Dompierre-sur-Besbre, 03290, Auvergne-Rhône-Alpes, France","Dompierre-sur-Besbre, Allier, Auvergne-Rhône-Alpes"
80537,Mesnil-Domqueur,80,Somme,50.134,2.063,50.13519,2.06945,478.38438266042806,True,50.13519,2.06945,478.38438266042806,True,50.13583,2.07083,594.0156271406164,True,"Mesnil-Domqueur, Abbeville, Somme, Hauts-de-France, France métropolitaine, 80620, France","Mesnil-Domqueur, 80620, Hauts-de-France, France","Mesnil-Domqueur, Arrondissement d'Abbeville, Somme, Hauts-de-France"
55174,Épinonville,55,Meuse,49.273,5.083,49.2765938,5.0805083,438.5957429765059,True,49.2765938,5.0805083,438.5957429765059,True,49.27667,5.08028,453.29020654042785,True,"Épinonville, Verdun, Meuse, Grand Est, France métropolitaine, 55270, France","Épinonville, 55270, Grand Est, France","Épinonville, Verdun, Meuse, Grand Est"
86042,Buxeuil,86,Vienne,46.969,0.663,48.0535678,4.3960136,305166.41349253664,True,47.1327016,1.6866732,79662.9481619083,True,47.13306,1.68667,79671.57359316261,True,"Buxeuil, Troyes, Aube, Grand Est, France métropolitaine, 10110, France","Buxeuil, 36150, Centre-Val de Loire, France","Buxeuil, Arrondissement d'Issoudun, Indre, Centre-Val de Loire"
59215,Estreux,59,Nord,50.353,3.602,50.3535982,3.5998285,167.80988011611467,True,50.3535982,3.5998285,167.80988011611467,True,50.35083,3.59417,605.678964403454,True,"Estreux, Valenciennes, Nord, Hauts-de-France, France métropolitaine, 59990, France","Estreux, 59990, Hauts-de-France, France","Estreux, Valenciennes, Département du Nord, Hauts-de-France"
31407,Paulhac,31,Haute-Garonne,43.754,1.555,43.7558413,1.5560584,221.68895198300604,True,45.3006206,3.3489045,223144.05178153585,True,43.755887049,1.555744415,218.18215406317907,True,"Paulhac, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31380, France","Paulhac, 43100, Auvergne-Rhône-Alpes, France","Paulhac, Haute-Garonne, Occitanie"
91433,Morigny-Champigny,91,Essonne,48.441,2.208,48.4461337,2.1814129,2042.5082823727682,True,48.4461337,2.1814129,2042.5082823727682,True,48.446909079,2.18098823,2097.9728661792633,True,"Morigny-Champigny, Étampes, Essonne, Île-de-France, France métropolitaine, 91150, France","Morigny-Champigny, 91150, Île-de-France, France","Morigny-Champigny, Essonne, Île-de-France"
62513,Ligny-sur-Canche,62,Pas-de-Calais,50.284,2.26,50.2853052,2.2566177,280.73886004606203,True,50.2853052,2.2566177,280.73886004606203,True,50.28417,2.25806,139.13004864860673,True,"Ligny-sur-Canche, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62270, France","Ligny-sur-Canche, 62270, Hauts-de-France, France","Ligny-sur-Canche, Arrondissement d'Arras, Pas-de-Calais, Hauts-de-France"
50436,Romagny Fontenay,50,Manche,48.637,-0.981,48.6316959,-0.9934201,1086.666871745161,True,48.6316959,-0.9934201,1086.666871745161,True,48.640270636,-0.965792233,1175.131757018812,True,"Romagny Fontenay, Avranches, Manche, Normandie, France métropolitaine, 50140, France","Romagny Fontenay, 50140, Normandie, France","Romagny Fontenay, Manche, Normandie"
89003,Montholon,89,Yonne,47.871,3.328,47.9014175,3.2796271,4944.762918634226,True,47.9014175,3.2796271,4944.762918634226,True,47.874788165,3.35027502,1713.993650646176,True,"Montholon, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, France","Montholon, 89110;89710, Bourgogne-Franche-Comté, France","Montholon, Yonne, Bourgogne-Franche-Comté"
10204,Longeville-sur-Mogne,10,Aube,48.147,4.064,48.1447313,4.0559076,651.246229869424,True,48.1447313,4.0559076,651.246229869424,True,48.1491,4.0616,293.65062335233364,True,"Longeville-sur-Mogne, Troyes, Aube, Grand Est, France métropolitaine, 10320, France","Longeville-sur-Mogne, 10320, Grand Est, France","Longeville-sur-Mogne, Troyes, Aube, Grand Est"
70255,Fresne-Saint-Mamès,70,Haute-Saône,47.553,5.857,47.5486,5.85972,530.1358424766275,True,47.5486,5.85972,530.1358424766275,True,47.54778,5.86083,647.7117338329969,True,"Fresne-Saint-Mamès, Vesoul, Haute-Saône, Bourgogne-Franche-Comté, France métropolitaine, 70130, France","Fresne-Saint-Mamès, 70130, Bourgogne-Franche-Comté, France","Fresne-Saint-Mamès, Vesoul, Haute-Saône, Bourgogne-Franche-Comté"
47209,Pont-du-Casse,47,Lot-et-Garonne,44.236,0.676,44.2325,0.6819444,612.9871698537662,True,44.2325,0.6819444,612.9871698537662,True,44.232159572,0.681032599,585.7655538221032,True,"Pont-du-Casse, Agen, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47480, France","Pont-du-Casse, 47480, Nouvelle-Aquitaine, France","Pont-du-Casse, Lot-et-Garonne, Nouvelle-Aquitaine"
88006,Ambacourt,88,Vosges,48.352,6.14,48.3477133,6.1421932,503.45977657731737,True,48.3477133,6.1421932,503.45977657731737,True,48.34722,6.14139,541.3463455410474,True,"Ambacourt, Neufchâteau, Vosges, Grand Est, France métropolitaine, 88500, France","Ambacourt, 88500, Grand Est, France","Ambacourt, Neufchâteau, Vosges, Grand Est"
52017,Arc-en-Barrois,52,Haute-Marne,47.948,5.022,47.9482191,5.0076357,1070.112275979988,True,47.9482191,5.0076357,1070.112275979988,True,47.94861,5.00944,937.9052838381566,True,"Arc-en-Barrois, Chaumont, Haute-Marne, Grand Est, France métropolitaine, 52210, France","Arc-en-Barrois, 52210, Grand Est, France","Arc-en-Barrois, Chaumont, Haute-Marne, Grand Est"
65085,Bernadets-Debat,65,Hautes-Pyrénées,43.351,0.318,43.354117,0.3181102,346.7090980045331,True,43.354117,0.3181102,346.7090980045331,True,43.35361,0.31722,296.9921892617135,True,"Bernadets-Debat, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65220, France","Bernadets-Debat, 65220, Occitanie, France","Bernadets-Debat, Tarbes, Hautes-Pyrénées, Occitanie"
17022,Asnières-la-Giraud,17,Charente-Maritime,45.894,-0.51,45.8883858,-0.5208631,1047.1675504128232,True,45.8883858,-0.5208631,1047.1675504128232,True,45.88917,-0.52111,1013.7936143402113,True,"Asnières-la-Giraud, Saint-Jean-d'Angély, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17400, France","Asnières-la-Giraud, 17400, Nouvelle-Aquitaine, France","Asnières-la-Giraud, Saint-Jean-d'Angély, Charente-Maritime, Nouvelle-Aquitaine"
80509,Marchélepot-Misery,80,Somme,49.831,2.867,49.8420133,2.8892121,2009.312864790913,True,49.8420133,2.8892121,2009.312864790913,True,49.83444,2.86583,391.60722678993847,True,"Marchélepot-Misery, Péronne, Somme, Hauts-de-France, France métropolitaine, 80200, France","Marchélepot-Misery, 80200, Hauts-de-France, France","Marchélepot-Misery, Péronne, Somme, Hauts-de-France"
25224,Étouvans,25,Doubs,47.456,6.721,47.4643548,6.71852,947.5355504966462,True,47.4643548,6.71852,947.5355504966462,True,47.46417,6.71972,913.5449210506052,True,"Étouvans, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25260, France","Étouvans, 25260, Bourgogne-Franche-Comté, France","Étouvans, Montbéliard, Doubs, Bourgogne-Franche-Comté"
26307,Saint-Jean-en-Royans,26,Drôme,45.007,5.299,45.0161452,5.290677,1209.1999936185607,True,45.0161452,5.290677,1209.1999936185607,True,45.016839897,5.291546298,1241.1607950520524,True,"Saint-Jean-en-Royans, Die, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26190, France","Saint-Jean-en-Royans, 26190, Auvergne-Rhône-Alpes, France","Saint-Jean-en-Royans, Drôme, Auvergne-Rhône-Alpes"
43227,Saint-Victor-Malescours,43,Haute-Loire,45.294,4.324,45.2919225,4.3123479,940.2878459755335,True,45.2919225,4.3123479,940.2878459755335,True,45.29167,4.31222,957.2060494075563,True,"Saint-Victor-Malescours, Yssingeaux, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, 43140, France","Saint-Victor-Malescours, 43140, Auvergne-Rhône-Alpes, France","Saint-Victor-Malescours, Arrondissement d'Yssingeaux, Haute-Loire, Auvergne-Rhône-Alpes"
31440,Proupiary,31,Haute-Garonne,43.158,0.868,43.1611,0.863775,486.06702721699895,True,43.1611,0.863775,486.06702721699895,True,43.1604,0.863,485.4858605693764,True,"Proupiary, Saint-Gaudens, Haute-Garonne, Occitanie, France métropolitaine, 31360, France","Proupiary, 31360, Occitanie, France","Proupiary, Saint-Gaudens, Département de la Haute-Garonne, Occitanie"
08191,Givonne,08,Ardennes,49.732,4.997,49.7211111,4.9888889,1343.8514408199094,True,49.7211111,4.9888889,1343.8514408199094,True,49.721469627,4.989325313,1294.368345318057,True,"Givonne, Sedan, Ardennes, Grand Est, France métropolitaine, 08200, France","Givonne, 08200, Grand Est, France","Givonne, Ardennes, Grand Est"
38166,La Flachère,38,Isère,45.4,5.962,45.3966,5.96212,378.17883171243324,True,45.3966,5.96212,378.17883171243324,True,45.39861,5.96306,175.3241010175105,True,"La Flachère, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38530, France","La Flachère, 38530, Auvergne-Rhône-Alpes, France","La Flachère, Grenoble, Isère, Auvergne-Rhône-Alpes"
74225,Rumilly,74,Haute-Savoie,45.856,5.941,50.57651,2.01477,599911.1515249797,True,50.57651,2.01477,599911.1515249797,True,45.867123802,5.942511663,1242.4368846966775,True,"Rumilly, Montreuil-sur-Mer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62650, France","Rumilly, 62650, Hauts-de-France, France","Rumilly, Haute-Savoie, Auvergne-Rhône-Alpes"
95394,Méry-sur-Oise,95,Val-d'Oise,49.055,2.174,49.0634561,2.1836324,1173.334476359978,True,49.0634561,2.1836324,1173.334476359978,True,49.064477968,2.184829518,1316.5640458323758,True,"Méry-sur-Oise, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95540, France","Méry-sur-Oise, 95540, Île-de-France, France","Méry-sur-Oise, Val-d'Oise, Île-de-France"
30125,Garons,30,Gard,43.772,4.438,43.7694841,4.4268453,938.3437923625194,True,43.7694841,4.4268453,938.3437923625194,True,43.770961663,4.42433685,1103.1328278803576,True,"Garons, Nîmes, Gard, Occitanie, France métropolitaine, 30128, France","Garons, 30128, Occitanie, France","Garons, Gard, Occitanie"
57152,Contz-les-Bains,57,Moselle,49.456,6.351,49.4528849,6.3467655,462.24085933974504,True,49.4528849,6.3467655,462.24085933974504,True,49.45222,6.34639,536.3813625820763,True,"Contz-les-Bains, Thionville, Moselle, Grand Est, France métropolitaine, 57480, France","Contz-les-Bains, 57480, Grand Est, France","Contz-les-Bains, Thionville, Moselle, Grand Est"
62107,Bénifontaine,62,Pas-de-Calais,50.476,2.827,50.4854775,2.830488,1082.3636044676773,True,50.4854775,2.830488,1082.3636044676773,True,50.48694,2.83028,1238.413076339116,True,"Bénifontaine, Lens, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62410, France","Bénifontaine, 62410, Hauts-de-France, France","Bénifontaine, Lens, Pas-de-Calais, Hauts-de-France"
40185,Miramont-Sensacq,40,Landes,43.594,-0.322,43.5947779,-0.3271478,423.4891815270967,True,43.5947779,-0.3271478,423.4891815270967,True,43.59472,-0.32722,427.93173649403536,True,"Miramont-Sensacq, Mont-de-Marsan, Landes, Nouvelle-Aquitaine, France métropolitaine, 40320, France","Miramont-Sensacq, 40320, Nouvelle-Aquitaine, France","Miramont-Sensacq, Mont-de-Marsan, Landes, Nouvelle-Aquitaine"
